idamostra;idade1;hdom1;licl4;lscl4;lscl3;lscl2;lscl1;is;nmudou;nis;s
178;22,31;12,0181814;4,58821216;6,926374143;10,07463288;14,20647579;19,51357141;2;1;2;28
178;34,03;19,87775367;9,010063018;11,898347;15,32318645;19,3250168;23,9435995;1;1;1;30,3
178;45,01;23,24045675;13,27237334;16,23146826;19,49305411;23,05797288;26,92699882;1;1;1;30,3
178;59,1;25,91669085;18,30100735;21,00019141;23,80018251;26,69555832;29,68160369;2;1;2;28
179;34,03;20,25580905;9,010063018;11,898347;15,32318645;19,3250168;23,9435995;1;0;1;30,3
179;45,01;25,27001718;13,27237334;16,23146826;19,49305411;23,05797288;26,92699882;1;0;1;30,3
179;59,1;27,68758182;18,30100735;21,00019141;23,80018251;26,69555832;29,68160369;1;0;1;30,3
180;34,03;19,18133588;9,010063018;11,898347;15,32318645;19,3250168;23,9435995;2;1;2;28
180;45,01;22,26547183;13,27237334;16,23146826;19,49305411;23,05797288;26,92699882;2;1;2;28
180;59,1;27,11054993;18,30100735;21,00019141;23,80018251;26,69555832;29,68160369;1;1;1;30,3
181;23,32;14,98293145;4,946037052;7,356210629;10,55589799;14,70133733;19,9629225;1;0;1;30,3
181;35,05;19,97724193;9,409592177;12,31952615;15,74192838;19,71112645;24,26062328;1;0;1;30,3
181;46,02;25,03124537;13,65415228;16,60474825;19,8396054;23,35805874;27,15949984;1;0;1;30,3
181;60,12;27,7572236;18,63634343;21,30814431;24,0702385;26,91748898;29,84544282;1;0;1;30,3
182;22,93;12,15746496;4,807078061;7,190043724;10,37062035;14,51155145;19,79119887;2;1;2;28
182;34,66;17,62931907;9,256780162;12,15886037;15,58257824;19,56452056;24,14049653;2;1;2;28
182;45,63;23,57871682;13,50704486;16,46116385;19,7065119;23,24297673;27,07045542;1;1;1;30,3
182;59,72;26,88172694;18,50534614;21,18797595;23,96496329;26,83105359;29,78168637;1;1;1;30,3
183;34,66;19,75836777;9,256780162;12,15886037;15,58257824;19,56452056;24,14049653;1;1;1;30,3
