"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"514";130;61,27;26,0161791074113;19,0092884396268;21,6493480323574;24,3684303809902;27,1617729858909;30,0252617376812;2;0;2
"515";130;70,66;28,772003815921;21,8458310852643;24,2031983883033;26,5681450673979;28,9400372539079;31,3183404764083;2;0;2
"516";131;25,1;12,953371012562;5,59166794733661;8,11660977533557;11,3921414118529;15,5471933357115;20,7194357593022;2;0;2
"517";131;38,11;19,3007217852306;10,6081966103037;13,5625637095016;16,9595456581772;20,8186906826816;25,1586853722367;2;0;2
"518";131;50,76;22,1560347503652;15,4067758021959;18,2928659086756;21,3856825746506;24,680290844043;28,172269010711;2;0;2
"519";131;62,35;25,9465373277739;19,3545308021289;21,9640255136224;24,6425039230739;27,3855977660094;30,189545295438;2;0;2
"520";131;71,75;27,0906522789602;22,1507718714578;24,4736946436346;26,7979879522465;29,1235340295625;31,4502338145522;2;0;2
"521";132;38,11;19,2211311799306;10,6081966103037;13,5625637095016;16,9595456581772;20,8186906826816;25,1586853722367;2;0;2
"522";132;50,76;22,8325548954145;15,4067758021959;18,2928659086756;21,3856825746506;24,680290844043;28,172269010711;2;0;2
"523";132;62,35;26,2847974002985;19,3545308021289;21,9640255136224;24,6425039230739;27,3855977660094;30,189545295438;2;0;2
"524";132;71,75;28,1054324965342;22,1507718714578;24,4736946436346;26,7979879522465;29,1235340295625;31,4502338145522;2;0;2
"525";133;27,86;15,9778140139589;6,62332663976648;9,29675255630459;12,6560797223313;16,7950237807274;21,8107722515679;2;1;2
"526";133;41,13;21,3501798717035;11,784091035984;14,7552087758967;18,1043738502003;21,8408664403138;25,973397524897;2;1;2
"527";133;51,68;26,5633645188482;15,7386163866491;18,6080895121274;21,6707506109776;24,9212629698066;28,3548625799051;1;1;1
"528";133;64,32;28,0357907168968;19,9716699279928;22,5237757936416;25,1278577551942;27,7803487480276;30,4781937166936;1;1;1
"529";133;73,36;29,8962211157824;22,5919571533268;24,8637441449439;27,1284132693387;29,3865993490193;31,6388345372085;1;1;1
"530";134;27,86;13,7293794142362;6,62332663976648;9,29675255630459;12,6560797223313;16,7950237807274;21,8107722515679;2;1;2
"531";134;41,13;21,7481328982031;11,784091035984;14,7552087758967;18,1043738502003;21,8408664403138;25,973397524897;2;1;2
"532";134;51,68;25,3695054393494;15,7386163866491;18,6080895121274;21,6707506109776;24,9212629698066;28,3548625799051;1;1;1
"533";134;64,32;28,3342554867715;19,9716699279928;22,5237757936416;25,1278577551942;27,7803487480276;30,4781937166936;1;1;1
"534";134;73,36;29,826579336145;22,5919571533268;24,8637441449439;27,1284132693387;29,3865993490193;31,6388345372085;1;1;1
"535";135;41,13;21,7680305495281;11,784091035984;14,7552087758967;18,1043738502003;21,8408664403138;25,973397524897;2;1;2
"536";135;51,68;25,0511430181498;15,7386163866491;18,6080895121274;21,6707506109776;24,9212629698066;28,3548625799051;1;1;1
"537";135;64,32;27,9064559832844;19,9716699279928;22,5237757936416;25,1278577551942;27,7803487480276;30,4781937166936;1;1;1
"538";135;73,36;30,0255558493948;22,5919571533268;24,8637441449439;27,1284132693387;29,3865993490193;31,6388345372085;1;1;1
"539";136;27,73;13,0926545718368;6,57404852433105;9,24125551014957;12,5974854513329;16,7379334189142;21,7614485153708;2;1;2
"540";136;41;19,5195959498053;11,7337259496105;14,7046259983409;18,0562529631616;21,7982544411576;25,9396930182688;2;1;2
"541";136;51,54;25,2899148340495;15,6883066830389;18,5603844668714;21,6276794117932;24,8849086381506;28,3273535696493;1;1;1
