"idarvore";"dap";"ht";"hi";"dicc";"vcc"
38808;18,1;28,3;24;5,1;0,317510402242563
38808;18,1;28,3;26;3,2;0,320357470584879
38808;18,1;28,3;26,14375;3;0,3204660813334
38808;18,1;28,3;28,3;0;0,320974135770348
38809;21,5;29,9;0,1;23,3;0,00426384808926841
38809;21,5;29,9;0,7;22,1;0,0285632818666221
38809;21,5;29,9;1,3;21,5;0,0509626804070846
38809;21,5;29,9;2;20,7;0,0754481750093471
38809;21,5;29,9;4;19;0,137454574611412
38809;21,5;29,9;6;18;0,191254348804137
38809;21,5;29,9;8;17,6;0,241029742807614
38809;21,5;29,9;10;16,6;0,287000668107594
38809;21,5;29,9;12;15,5;0,327512290773797
38809;21,5;29,9;14;14,1;0,361995982535926
38809;21,5;29,9;16;13,3;0,391503391534768
38809;21,5;29,9;18;11,4;0,415603334178619
38809;21,5;29,9;20;10,5;0,434469383461589
38809;21,5;29,9;22;9,8;0,450671362174315
38809;21,5;29,9;24;7,5;0,462632190804694
38809;21,5;29,9;26;5,2;0,469173772107632
38809;21,5;29,9;27,8642857142857;3;0,47181227235767
38809;21,5;29,9;29,9;0;0,472291926236031
38812;13,6;25,4;0,1;15,7;0,00193592793295837
38812;13,6;25,4;0,7;14;0,0123618529326105
38812;13,6;25,4;1,3;13,6;0,0213380114624472
38812;13,6;25,4;2;13,4;0,0313582783107046
38812;13,6;25,4;4;12,7;0,0581285747101066
38812;13,6;25,4;6;12;0,0821059952404673
38812;13,6;25,4;8;11,2;0,103267763355048
38812;13,6;25,4;10;10,6;0,121944531680639
38812;13,6;25,4;12;9,4;0,137709043616353
38812;13,6;25,4;14;8,3;0,150059429735778
38812;13,6;25,4;16;7;0,15931848868407
38812;13,6;25,4;18;6,1;0,16608940625072
38812;13,6;25,4;20;5,1;0,171054693439718
38812;13,6;25,4;22;3,9;0,174292104669243
38812;13,6;25,4;23,4909090909091;3;0,175709548434643
38812;13,6;25,4;25,4;0;0,17615936738277
38813;12,6;22,8;0,1;16,4;0,00211240690027378
38813;12,6;22,8;0,7;13,7;0,0128719690397371
38813;12,6;22,8;1,3;12,6;0,0210350048510085
38813;12,6;22,8;2;12,4;0,0296258470418825
