"idfustemed";"ntorasicc";"sdtorasicc";"dminicc";"toraminicc";"vtocoi";"vprodicc";"vti"
5050;4;43,9766434847536;7,92708324488585;3,3;0,00180812240002188;0,129145320452834;0,151429724283529
5051;5;61,1945098729595;7,6822923497297;3,3;0,00250927626120742;0,203121826327533;0,220312840789565
5052;5;58,5201703260075;7,65686515103996;2,6;0,0022989355664196;0,181657301726911;0,199475280846475
5053;5;69,4052521062019;8,78352415196251;3,3;0,00320749536572921;0,261002894278726;0,28397769839529
5054;5;60,3806271210354;7,55514638211206;3,3;0,00244924724355577;0,197842729039402;0,21432098170092
5055;5;64,5931199726626;8,20670145258078;3,3;0,00276952357639737;0,225945602454464;0,246221175172331
5056;5;59,2533823645977;7,60551971173575;2,9;0,00235809157182301;0,188109284040034;0,205302664612659
5057;5;56,3453153581399;7,63159990083602;2;0,00213539294156192;0,165021273714889;0,183319566584653
5058;5;58,8536058210336;7,54241879898569;2,9;0,00232940407754699;0,185626594065879;0,202462016368781
5059;5;56,6101028116656;7,67530758290206;2;0,00215337313596911;0,166535712837377;0,185100962398697
5060;4;44,1145722266666;7,95654168912027;3,3;0,00181856399648411;0,129948175569689;0,152438106131045
5061;5;60,5025199398653;7,5735406898851;3,3;0,00245835472935795;0,198631207228004;0,215208434818141
5062;3;31,9130524612631;7,71695490353984;3,3;0,00169198301543093;0,090994633047454;0,107442591483478
5063;6;77,0060189927536;7,61626627295391;2;0,00306908907550083;0,26560490381919;0,280762831515322
5064;6;77,0276570991475;7,57956318841971;2;0,00308254553220866;0,266027060159514;0,280859009190977
5065;6;76,3156102577313;7,65910492288592;2;0,00298077923064263;0,260088447137324;0,275976266062837
5066;6;83,2049635764904;7,81236946205628;3,3;0,00346956048983336;0,316882071002495;0,332725953131985
5067;5;60,3117977799514;8,04970045495037;3,3;0,00231947771192144;0,195711079675251;0,218165110870588
5068;6;86,0687519692183;7,57982009810176;3,3;0,00384830242647679;0,341625027270343;0,354879400519195
5069;5;62,3189076468579;7,97871704630443;3,3;0,00256222932726928;0,210099248062042;0,229678487683641
5070;5;64,1778634011101;8,36750137385471;3,3;0,00267766986580347;0,222282618177841;0,244955475351772
5071;5;65,018492508987;8,50666888800305;3,3;0,00274045174643321;0,228039261741045;0,251707703161051
5072;6;76,4849441624293;7,6025532578901;2;0,00301630195854571;0,261758353492423;0,277044264331192
5073;5;57,0068630404741;7,67018639068797;2,3;0,00216229453362882;0,170289984279619;0,18905202221576
5074;6;83,8932606808947;7,96252811315309;3,3;0,00350356745652485;0,321714288002118;0,338566815547995
5075;5;65,5749094498;8,39241326563317;3,3;0,00283782158052436;0,232638819841524;0,254278130444383
5076;6;78,9864876803177;7,56952149584705;2,6;0,00319525559662809;0,282556640207802;0,297245205924407
5077;4;44,4764714951263;7,62674260558747;3,3;0,00193093444071747;0,132893492235755;0,150696578120217
5078;6;77,6401844274759;7,55501238101692;2,3;0,00310448948517589;0,271532197424893;0,286287106709025
5079;5;59,1774698375311;7,57033930530619;2,6;0,00239715786753339;0,186537594337849;0,202879309622574
5080;5;64,4500782104994;8,17893890212956;3,3;0,00275983138118302;0,224981404148774;0,245054694058687
5081;5;66,6535677317707;8,59737529813878;3,3;0,00291358327481736;0,240104668082068;0,263319147817344
5082;5;63,6625906334518;8,02788642093415;3,3;0,00270630378786427;0,219704596307933;0,238707685090658
5083;4;47,9662405590013;8,50728990491323;3,3;0,0021816157063387;0,153929150017971;0,178372588618812
5084;4;45,1413323741576;7,79563918038279;3,3;0,00197712129991873;0,13677474068936;0,155756926318072
5085;6;82,7732119639527;7,69288387581546;3,3;0,00345491441586563;0,31399415939217;0,329031976063446
5086;5;63,8531445506765;8,06483015025131;3,3;0,00271910439616493;0,220974119589549;0,240237167727653
5087;1;8,58111761805383;7,90531682641822;3,3;0,000857886498194255;0,0200031023961817;0,0452536896994892
5088;5;65,3839648555804;8,35529099777415;3,3;0,00282474356353504;0,23133294896357;0,252690327812353
5089;5;61,6373711151237;7,64084592504004;3,3;0,00257063209112148;0,20642339301235;0,222860716134337
5090;4;47,3240961709468;8,34595463542875;3,3;0,00213404471327286;0,149936283839239;0,173068927620927
5091;5;60,3279065613496;7,61976524293735;2,9;0,00247701668497223;0,195504277053122;0,21200899898292
5092;5;59,8885457439826;7,53572895414904;2,9;0,00244856471735828;0,192785268493335;0,208762486852321
5093;5;66,8095820090067;8,62695029616246;3,3;0,00292464569659927;0,241194808516466;0,2646419398933
5094;3;30,9461032220909;7,94573967962745;3,3;0,00150774331084806;0,0850088839828856;0,106068007141468
5095;6;79,5600642148708;7,66159879975376;2,6;0,00323123545878126;0,286451206431869;0,30166291704059
5096;5;61,4948409046381;7,6132711754819;3,3;0,00256129549121364;0,205505851759102;0,221768398688726
5097;6;78,8147280752979;7,54479910422573;2,6;0,00318370360838981;0,281378464502189;0,295936144729662
5098;5;58,8826535611741;7,51101890461039;2,6;0,00237913339668402;0,184781786339742;0,200740724354205
5099;6;77,8262689385254;7,58503824023519;2,3;0,00311590908085269;0,272758045689361;0,287684322514164
5100;5;66,1731296030842;8,50713086828938;3,3;0,00287942691940185;0,236760493899544;0,25927817092565
5101;5;61,9349189755373;7,6975579966452;3,3;0,00259039470179388;0,208348712069732;0,22514622498149
5102;5;72,1938778529372;8,91051631239381;3,3;0,00353829020178641;0,283352357338338;0,305449128938385
5103;6;76,6386420604857;7,59137771435943;2;0,00303642550218464;0,262996597439457;0,278110095836224
5104;6;80,5645838097886;7,62069952880045;2,9;0,00330144213134172;0,295447338767863;0,310283500650372
5105;5;59,4525702689234;7,54028023796671;2,9;0,00239756224956585;0,189744716123117;0,206091119273529
5106;5;60,758591792161;7,56423456939631;3,3;0,00248967172022867;0,200463494155223;0,216758434778924
5107;5;65,6094061948704;8,36810401931329;3,3;0,00284859353292505;0,232990566721215;0,254299499259406
5108;5;60,1684973103782;7,54907961537201;3,2;0,00243902878545847;0,195941911528715;0,212349305983265
5109;5;67,8501035808178;8,81510440847651;3,3;0,00300150351567647;0,248564265125893;0,273475053227232
5110;5;64,0075848917571;8,25608062656805;3,3;0,00268685058384035;0,221419917252764;0,242827864974521
5111;5;67,091860665033;8,71659327707242;3,3;0,0029347931662677;0,243039764191451;0,267396893978014
5112;5;63,0478984475135;8,19120057625057;3,3;0,00259166614961711;0,214624300310387;0,236133669180133
5113;5;64,524181541474;8,32271434816043;3,3;0,00273039602508887;0,225008441324767;0,24676334489713
5114;5;65,5370842323558;8,66210257410811;3,3;0,00276111969277354;0,231383808422246;0,256655523731311
5115;5;65,5167985084564;8,45384096016962;3,3;0,0028142167136189;0,231973289691618;0,254442361094055
5116;6;82,0446126500453;7,50544319803499;3,2;0,00344237410597924;0,308743582095841;0,322515046837159
