"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1103;40,81;22,55;19,3;4,46;0,199
1173;52,31;23,7;20,5;5,41;0,239
1103;40,81;22,55;20,5;3,15;0,16
1103;40,81;22,55;21,7;1,46;0,1135
1173;52,31;23,7;21,7;3,5;0,172
1103;40,81;22,55;22;0,95;0,0525
1173;52,31;23,7;22,9;1,27;0,077
1174;38,01;21,9;0,1;14,16;0,743
1174;38,01;21,9;0,7;12,41;0,517
1174;38,01;21,9;1,3;12,1;0,605
1174;38,01;21,9;2,5;11,14;0,311
1174;38,01;21,9;3,7;10,31;0,266
1174;38,01;21,9;4,9;9,99;0,239
1174;38,01;21,9;6,1;9,61;0,264
1174;38,01;21,9;7,3;9,29;0,276
1174;38,01;21,9;8,5;9,01;0,188
1174;38,01;21,9;9,7;8,69;0,178
1174;38,01;21,9;10,9;8,05;0,2
1174;38,01;21,9;12,1;7,64;0,195
1174;38,01;21,9;13,3;7,07;0,191
1174;38,01;21,9;14,5;6,53;0,175
1174;38,01;21,9;15,7;5,73;0,176
1174;38,01;21,9;16,9;5,19;0,212
1174;38,01;21,9;18,1;4,3;0,132
1174;38,01;21,9;19,3;3,57;0,141
1174;38,01;21,9;20,5;2,16;0,114
1174;38,01;21,9;21,4;1,02;0,079
1105;46,59;21,2;0,1;18,49;1,725
1175;61,01;27,2;0,1;23,71;1,276
1175;61,01;27,2;0,7;19,99;0,839
1105;46,59;21,2;0,7;15,44;0,9915
1105;46,59;21,2;1,3;14,83;0,829
1175;61,01;27,2;1,3;19,42;0,821
1105;46,59;21,2;2,5;14,16;0,738
1175;61,01;27,2;2,5;19,07;0,77
1105;46,59;21,2;3,7;13,43;0,735
1175;61,01;27,2;3,7;18,02;0,661
1105;46,59;21,2;4,9;12,41;0,445
1175;61,01;27,2;4,9;17,51;0,658
1105;46,59;21,2;6,1;11,94;0,422
1175;61,01;27,2;6,1;16,87;0,505
1175;61,01;27,2;7,3;16,11;0,503
1105;46,59;21,2;7,3;11,4;0,423
1105;46,59;21,2;8,5;10,82;0,3355
1175;61,01;27,2;8,5;15,44;0,387
1175;61,01;27,2;9,7;14,96;0,384
1105;46,59;21,2;9,7;10,19;0,3045
